,title,location,department,salary_range,company_profile,employment_type,required_experience,required_education,industry,function,fraudulent
70,66,11,0,0,40,2,1,0,0,0,0
71,67,63,2,0,41,1,3,3,18,1,0
72,9,64,2,0,9,3,4,3,6,1,0
73,68,65,2,0,5,1,1,0,21,2,0
74,69,47,2,0,9,3,4,3,22,9,0
75,70,6,16,0,42,1,2,2,23,8,0
76,71,54,2,7,4,1,3,3,3,4,0
77,72,66,2,8,5,1,2,1,2,6,0
78,73,67,2,0,43,1,2,0,18,14,0
79,74,68,2,9,44,1,1,1,5,15,0
80,35,69,2,0,27,4,1,1,16,2,0
81,30,7,2,0,9,1,4,3,6,1,0
82,75,70,2,0,15,5,3,0,24,3,0
83,76,71,2,0,9,1,4,3,13,1,0
84,77,72,2,0,9,3,4,3,10,1,0
85,78,73,2,0,45,1,3,1,6,16,0
86,45,74,2,0,9,1,4,3,3,9,0
87,79,75,2,0,9,1,4,3,22,1,0
88,80,59,18,0,46,2,1,0,0,2,0
89,35,76,2,0,27,4,1,1,16,2,0
90,81,0,0,0,47,1,3,1,1,0,0
91,82,77,2,10,48,1,1,0,25,17,0
92,83,78,19,11,5,1,4,3,13,18,0
93,84,7,2,0,9,1,4,3,6,9,0
94,85,79,2,0,15,1,1,3,0,9,0
95,86,58,0,0,49,1,6,2,9,0,0
96,87,80,2,0,50,1,2,1,6,6,0
97,29,81,2,0,9,1,4,3,13,1,0
98,88,82,20,12,51,1,2,3,15,7,1
99,58,0,2,0,27,4,1,1,16,2,0
100,89,83,2,0,5,2,1,0,0,2,0
101,35,84,2,0,27,4,1,1,16,2,0
102,90,85,21,13,52,1,4,1,9,0,0
103,91,0,2,0,9,1,4,3,6,1,0
104,92,86,2,0,5,2,1,0,0,2,0
105,93,87,22,0,53,1,2,1,9,6,0
106,94,88,2,0,15,1,0,3,0,2,0
107,95,11,23,14,54,1,1,0,26,6,0
108,96,72,24,0,5,1,2,0,2,19,0
109,97,89,2,0,9,1,6,1,7,5,0
110,98,57,2,0,9,1,4,3,3,1,0
111,91,90,2,0,9,3,4,3,3,1,0
112,9,91,2,0,9,3,4,3,22,1,0
113,99,92,25,15,55,1,2,0,27,5,0
114,100,93,3,0,56,2,1,0,0,3,0
115,101,94,2,0,15,2,1,3,28,18,0
116,102,7,2,0,57,1,4,1,9,9,0
117,103,95,26,0,58,2,1,0,0,2,0
118,104,0,2,0,59,1,6,0,2,2,0
119,35,96,2,0,27,4,1,1,16,2,0
120,105,12,2,0,9,1,3,3,13,9,0
121,106,97,27,0,60,1,1,0,0,2,0
122,35,98,2,0,27,4,1,1,16,2,0
123,35,99,2,0,27,4,1,1,16,2,0
124,9,100,2,0,9,3,4,3,16,1,0
125,107,101,2,0,61,1,3,1,1,0,0
126,108,59,2,0,62,1,2,0,9,2,0
127,109,102,3,0,63,1,3,0,29,3,0
128,110,103,2,0,64,5,0,4,30,2,0
129,29,89,2,0,9,1,4,3,12,1,0
130,111,104,2,0,9,1,4,3,22,1,0
131,112,105,2,0,15,5,3,0,24,3,0
132,113,106,2,16,65,1,2,0,2,10,0
133,35,107,2,0,27,4,1,1,16,2,0
134,114,108,28,17,66,1,2,1,6,3,0
135,58,109,2,0,27,4,1,1,16,2,0
136,29,89,2,0,9,1,4,3,12,1,0
137,115,110,2,0,67,2,1,0,0,2,0
138,116,0,2,0,9,1,4,3,6,1,0
139,77,0,2,0,9,1,4,3,10,1,0
140,35,60,2,0,27,4,1,1,16,2,0
141,29,111,2,0,9,1,4,3,31,1,0
142,117,112,29,0,68,2,1,0,0,2,0
143,118,113,2,0,27,4,4,1,16,12,0
144,119,114,2,0,5,2,1,0,0,2,1
145,120,59,30,18,5,1,3,0,2,7,0
147,121,60,2,0,17,1,1,0,0,2,0
148,122,59,31,0,69,1,3,1,2,2,0
149,123,60,3,0,3,1,2,1,2,3,0
150,124,9,2,0,70,1,3,0,1,6,0
151,35,26,2,0,27,4,1,1,16,2,0
152,125,0,2,19,71,1,2,1,32,3,0
153,126,80,13,20,72,1,2,1,9,11,0
154,127,115,2,21,5,4,1,3,33,11,0
155,128,116,2,22,5,1,3,3,34,1,0
156,129,117,2,0,73,2,1,0,0,2,0
157,35,118,2,0,27,4,1,1,16,2,0
158,130,58,2,0,5,4,1,0,0,1,0
159,131,119,2,23,74,2,1,0,0,2,0
160,132,120,32,24,75,1,3,3,35,20,0
161,133,121,2,0,5,1,6,1,0,2,0
162,134,14,2,0,76,1,2,0,36,21,0
163,135,57,2,0,9,1,4,3,13,1,0
164,136,122,0,0,77,1,4,1,12,0,0
165,137,80,2,25,78,1,0,1,2,0,0
166,138,59,3,0,5,1,2,2,37,3,0
167,139,123,2,26,5,1,4,3,6,3,0
168,140,59,33,0,79,1,4,1,1,9,0
169,42,124,2,0,9,1,4,3,6,1,0
170,141,97,27,0,60,1,1,0,0,2,0
171,142,125,34,27,80,1,3,5,1,6,0
172,143,126,2,0,81,1,3,0,38,2,0
173,144,40,35,0,82,1,2,6,39,7,1
174,145,127,2,0,15,1,3,0,24,3,0
175,9,0,2,0,9,3,4,3,6,9,0
176,35,128,2,0,27,4,1,1,16,2,0
177,146,129,36,28,83,0,4,3,6,2,0
178,147,37,24,0,84,1,6,1,1,22,0
179,148,11,37,29,85,1,2,1,5,18,0
180,149,130,3,0,5,2,1,0,0,3,1
181,58,131,2,0,27,4,1,1,16,2,0
182,150,132,2,0,2,1,1,0,15,8,0
183,151,133,2,0,5,1,2,1,3,4,0
184,152,11,38,0,10,2,1,0,0,2,0
185,153,134,2,0,15,2,1,0,24,2,0
186,154,93,2,0,9,1,4,3,31,9,0
187,155,58,2,0,86,3,4,4,38,7,0
188,35,135,2,0,27,4,1,1,16,2,0
189,35,136,2,0,27,4,1,1,16,2,0
190,139,137,2,26,5,1,4,3,6,3,0
191,156,58,2,0,5,2,1,0,0,2,0
192,157,138,2,0,5,1,2,1,3,6,0
193,158,139,2,0,87,1,4,0,40,2,0
194,81,77,2,0,88,2,1,0,0,2,0
195,159,140,39,0,89,1,2,1,9,6,0
196,35,141,2,0,27,4,1,1,16,2,0
197,160,142,40,30,90,1,2,1,5,6,0
198,161,143,18,16,66,1,4,1,6,14,0
199,162,144,2,0,29,2,1,0,0,2,0
200,163,20,41,31,91,1,2,0,1,23,0
201,164,145,2,0,92,1,2,1,2,6,0
202,58,146,2,0,27,4,1,1,16,2,0
203,165,58,2,32,5,1,2,1,2,6,0
204,166,114,42,0,85,2,1,0,0,2,0
205,167,147,2,0,93,1,4,1,11,1,0
206,168,77,2,0,94,1,1,0,13,1,0
207,169,71,2,0,9,1,4,3,13,1,0
208,58,87,2,0,27,4,1,1,16,2,0
209,29,148,2,0,9,1,4,3,3,1,0
210,91,149,2,0,9,3,4,3,13,1,0
211,170,150,7,0,20,1,4,1,12,6,0
212,171,90,2,0,9,1,4,3,13,1,0
213,29,151,2,0,9,1,4,3,16,9,0
214,172,152,2,0,5,2,1,0,0,2,0
215,173,153,20,12,51,1,2,3,15,7,1
216,35,154,2,0,27,4,1,1,16,2,0
217,174,11,43,0,95,1,6,0,2,5,0
218,175,14,44,0,96,1,4,0,5,11,0
219,176,155,3,0,97,1,6,2,12,3,0
220,177,0,2,0,9,1,2,3,41,5,0
221,178,156,2,0,15,1,1,3,0,9,0
222,179,157,2,0,98,2,1,0,0,2,0
223,35,158,2,0,27,4,1,1,16,2,0
224,30,42,2,0,9,1,4,3,16,1,0
225,180,11,45,0,66,1,4,1,6,24,0
226,35,159,2,0,27,4,1,1,16,2,0
227,181,160,2,0,5,1,1,0,42,23,0
228,67,161,2,0,41,1,3,3,18,1,0
229,182,75,2,0,5,1,3,6,5,6,0
230,29,40,2,0,9,1,4,3,31,1,0
231,35,162,2,0,27,4,1,1,16,2,0
232,183,163,2,0,15,1,1,3,0,9,0
233,184,11,2,16,99,1,3,1,9,6,0
234,185,114,2,0,100,2,1,0,0,2,0
235,186,164,2,0,15,2,1,3,0,3,0
236,187,165,2,0,5,4,2,1,5,6,0
237,35,166,2,0,27,4,1,1,16,2,0
238,188,167,2,33,101,1,1,0,16,4,0
239,189,26,2,0,17,1,1,0,0,2,0
240,29,168,2,0,9,1,4,3,6,1,0
241,190,11,46,16,66,1,3,1,6,24,0
242,191,169,47,34,5,1,1,0,43,3,0
243,192,170,2,0,27,4,1,1,16,2,0
244,193,171,2,0,5,2,1,0,0,2,0
245,161,172,18,16,66,1,4,1,6,14,0
246,35,173,2,0,27,4,1,1,16,2,0
247,194,172,48,35,66,1,2,1,6,21,0
248,195,11,46,0,66,1,2,1,6,3,0
249,196,77,39,0,102,1,1,0,0,2,0
250,197,20,2,36,103,1,1,0,5,6,0
251,198,11,2,0,92,1,3,1,2,6,0
252,199,174,2,0,17,1,1,0,0,2,0
253,36,175,2,0,27,4,1,1,16,2,0
254,121,37,2,0,17,1,1,0,0,2,0
255,200,172,46,37,66,1,3,1,6,24,0
256,201,0,0,0,32,1,1,0,5,0,0
257,202,176,2,0,5,1,1,0,9,9,0
258,203,177,2,0,9,1,4,3,6,25,0
259,204,178,2,0,5,1,2,0,5,15,0
260,205,179,2,0,15,2,1,3,0,1,0
261,206,180,2,28,5,1,4,3,0,1,0
262,207,0,2,0,104,1,2,0,6,3,0
263,208,181,2,0,15,1,1,3,0,1,0
264,209,182,2,0,5,4,2,0,5,6,0
265,210,0,2,0,105,2,1,0,0,2,0
266,211,183,2,0,5,2,1,0,0,2,0
267,29,0,2,0,9,1,4,3,6,9,0
268,212,184,2,0,5,1,2,0,9,2,0
269,35,185,2,0,27,4,1,1,16,2,0
270,213,158,49,0,106,2,1,0,0,26,0
271,214,132,2,0,2,1,1,0,15,2,0
272,215,121,2,0,17,1,1,0,1,2,0
273,35,186,2,0,27,4,1,1,16,2,0
274,216,97,27,0,60,1,1,0,0,2,0
275,217,187,2,0,107,1,1,2,2,2,0
276,218,188,50,0,108,1,2,1,9,3,0
277,219,20,2,0,109,1,3,0,9,6,0
278,36,189,2,0,27,4,1,1,16,2,0
279,220,0,3,0,110,1,2,1,5,3,0
280,35,190,2,0,27,4,1,1,16,2,0
281,221,19,51,0,28,1,6,1,2,19,0
282,222,91,2,0,111,1,1,0,0,2,0
283,223,188,50,0,108,1,2,1,2,3,0
284,35,191,2,0,27,4,1,1,16,2,0
285,224,188,50,0,108,1,4,0,2,3,0
286,225,143,2,0,15,1,1,3,0,9,0
287,226,81,52,0,112,1,3,1,9,10,0
288,162,192,2,0,29,2,1,0,17,3,0
289,227,3,2,0,113,0,0,1,2,8,0
290,228,58,49,0,106,2,1,0,0,26,0
291,229,0,45,0,114,1,3,1,37,27,0
292,58,193,2,0,27,4,1,1,16,2,0
293,230,194,2,0,115,1,4,0,6,2,0
294,231,11,2,0,116,1,2,1,44,8,0
295,232,195,53,0,117,1,4,1,4,28,0
296,233,97,27,0,60,1,1,0,0,2,0
297,234,19,54,0,118,1,3,1,2,6,0
298,235,196,55,38,119,1,1,0,13,3,0
299,9,197,2,0,9,3,4,3,13,1,0
300,236,128,2,0,115,1,4,0,6,2,0
301,237,6,56,39,120,1,4,0,2,2,0
302,238,132,2,0,121,1,1,0,3,2,0
303,239,198,2,32,5,1,1,1,45,8,0
304,240,111,2,0,9,1,4,3,31,7,0
305,35,199,2,0,27,4,1,1,16,2,0
306,42,0,2,0,9,1,4,3,6,1,0
307,241,200,27,0,60,1,3,0,40,15,0
308,242,201,2,0,122,4,1,0,18,6,0
309,35,202,2,0,27,4,1,1,16,2,0
310,243,77,2,0,1,2,1,0,0,2,0
311,9,37,2,0,9,3,4,3,6,9,0
312,244,201,2,0,122,1,2,0,5,3,0
313,35,61,2,0,27,4,1,1,16,2,0
314,245,203,19,40,97,1,2,1,12,18,0
315,246,204,57,0,123,1,3,1,5,19,0
316,247,205,2,0,124,1,1,0,0,3,0
317,248,206,24,0,125,1,4,1,9,17,0
318,249,207,2,15,126,1,2,1,4,23,0
319,250,59,16,0,20,1,1,1,12,8,0
320,251,11,58,0,127,1,2,0,4,2,0
321,252,208,2,0,128,1,1,0,21,5,0
322,253,93,2,41,129,1,3,1,1,29,0
323,254,209,59,0,130,1,3,1,6,2,0
324,255,93,41,17,129,1,2,1,1,22,0
325,256,114,2,0,131,2,1,0,0,2,0
326,35,210,2,0,27,4,1,1,16,2,0
327,257,140,39,0,89,1,2,1,9,8,0
328,35,211,2,0,27,4,1,1,16,2,0
329,258,81,0,0,112,1,3,1,9,0,0
330,36,61,2,0,27,4,1,1,16,2,0
331,259,58,60,0,106,2,1,0,0,2,0
332,260,58,2,0,132,4,1,0,0,2,0
333,261,212,61,0,133,1,3,1,9,1,0
334,262,213,2,5,5,1,4,0,5,6,0
335,263,158,0,0,106,2,1,0,0,0,0
336,264,214,3,0,134,0,0,3,5,3,0
337,29,9,2,0,9,1,4,3,31,9,0
338,56,215,2,0,27,4,4,1,16,12,0
339,265,216,60,0,106,2,1,0,0,2,0
340,266,125,62,42,80,1,1,0,1,27,0
341,267,161,63,0,135,5,1,0,0,2,0
342,268,217,2,0,136,1,6,1,30,1,0
343,269,218,64,43,137,1,2,1,12,29,0
344,36,81,2,0,27,4,1,1,16,2,0
345,270,167,2,44,101,1,1,0,46,12,0
346,271,219,65,0,138,2,1,0,0,2,0
347,35,220,2,0,27,4,1,1,16,2,0
348,272,221,0,0,10,2,1,0,0,0,0
349,273,114,60,0,106,2,1,0,0,2,0
350,274,222,2,0,139,1,3,0,47,13,0
351,275,14,2,45,140,1,1,0,48,10,0
352,276,59,66,0,5,1,2,1,49,0,0
353,277,223,2,0,57,2,1,0,0,2,0
354,278,58,2,32,5,1,2,1,2,6,0
355,279,224,67,0,141,1,1,1,46,12,0
356,42,225,2,0,9,1,4,3,6,1,0
357,280,226,68,46,142,4,3,0,43,2,1
358,281,0,2,0,9,3,4,3,6,1,0
359,282,27,2,0,143,3,1,0,50,27,0
360,283,3,2,0,144,3,1,0,0,2,0
361,284,125,34,47,80,1,3,1,1,8,0
362,285,227,2,0,145,1,3,1,22,17,0
363,286,15,0,0,13,1,6,1,21,0,0
364,287,80,2,0,146,2,1,0,0,2,0
365,35,228,2,0,27,4,1,1,16,2,0
366,288,37,2,0,147,1,6,7,5,3,0
367,289,229,2,0,15,2,1,3,0,9,0
368,290,40,2,5,5,1,4,1,2,8,0
369,291,99,2,0,148,1,2,1,51,19,0
370,292,230,69,0,5,2,1,0,0,2,0
371,293,231,0,48,149,1,6,1,9,0,0
372,294,232,2,0,45,1,0,2,6,17,0
373,295,233,70,0,150,1,1,0,0,2,0
374,296,234,2,0,5,1,2,3,14,25,0
375,30,0,2,0,9,1,4,3,6,1,0
376,297,0,2,49,5,1,2,1,6,6,0
377,298,19,71,0,118,1,4,1,1,10,0
378,299,235,2,50,5,1,3,1,52,6,0
379,300,77,72,0,151,1,1,0,0,2,0
380,301,0,2,51,5,1,2,1,5,6,0
381,302,236,52,0,152,1,1,0,0,2,0
382,303,0,2,52,5,1,2,0,5,6,0
383,304,0,11,0,104,1,1,0,53,2,0
384,305,37,2,0,17,1,1,0,1,2,0
385,306,237,17,26,5,1,2,0,5,6,0
386,35,238,2,0,27,4,1,1,16,2,0
387,307,0,2,0,49,1,2,0,5,29,0
388,308,239,2,0,153,1,1,0,0,2,0
389,309,240,2,0,5,1,2,1,5,30,0
390,310,241,2,0,154,1,2,2,7,22,0
391,77,242,2,0,9,1,4,3,10,1,0
392,311,40,2,0,155,2,1,0,0,2,0
393,312,243,2,0,9,3,4,3,2,9,0
394,313,123,2,0,156,1,2,1,9,31,0
395,314,244,2,0,157,4,1,0,0,2,0
396,315,245,73,0,5,2,1,0,0,2,0
397,316,37,2,9,158,1,2,0,5,8,0
398,317,60,2,0,159,1,2,0,5,15,0
399,318,246,74,0,160,1,2,1,28,8,0
400,319,247,75,0,60,2,1,0,0,2,0
401,320,248,2,0,161,1,3,1,23,0,0
403,321,59,3,18,5,1,3,0,54,3,0
404,118,249,2,0,27,4,1,1,16,12,0
405,322,73,16,0,162,1,2,1,2,6,0
406,323,114,76,0,163,0,0,1,55,2,0
407,324,7,2,0,164,2,2,0,0,2,0
408,42,0,2,0,9,1,3,3,6,1,0
409,325,11,2,16,165,1,3,1,56,3,0
410,326,59,77,0,166,1,3,1,5,6,0
411,38,114,2,0,98,2,1,0,0,2,0
412,327,27,2,0,5,2,1,0,5,2,0
413,328,94,2,0,15,1,1,3,0,9,0
414,329,250,2,0,9,3,4,3,3,1,0
415,56,251,2,0,27,4,4,1,16,12,0
416,330,11,2,0,92,1,2,1,2,6,0
417,331,252,45,0,167,4,2,1,18,24,0
418,30,253,2,0,9,1,4,3,57,1,0
419,332,0,2,0,0,1,1,0,0,2,0
420,312,243,2,0,9,3,4,3,12,9,0
421,35,194,2,0,27,4,1,1,16,2,0
422,257,254,17,0,168,1,3,0,2,6,0
423,333,255,2,28,169,1,4,0,12,1,0
424,334,256,2,53,5,1,2,0,58,2,0
425,335,257,2,0,29,1,1,0,17,2,0
426,336,258,17,0,170,1,2,1,5,6,0
427,337,143,2,0,15,1,1,3,21,9,0
428,338,11,2,0,171,2,1,0,0,2,0
429,339,194,2,54,172,1,4,1,34,27,0
430,340,60,78,0,56,1,2,1,9,27,0
431,341,143,2,55,5,1,2,0,6,6,0
432,342,11,38,0,10,2,1,0,0,2,0
433,343,225,2,0,5,4,1,0,0,2,0
434,344,8,2,0,8,1,3,0,5,2,0
435,345,259,79,0,5,1,3,0,59,2,0
436,35,7,2,0,27,4,1,1,16,2,0
437,35,260,2,0,27,4,1,1,16,2,0
438,346,261,80,56,173,1,1,0,43,1,0
439,347,236,3,0,152,1,2,1,9,3,0
440,348,262,2,0,174,2,2,0,18,6,0
441,349,208,2,57,5,1,3,3,22,1,0
442,350,263,2,4,175,1,1,1,43,8,0
443,351,247,2,0,60,3,1,0,0,2,0
444,35,3,2,0,27,4,1,1,16,2,0
445,9,12,2,0,9,3,4,3,6,9,0
446,352,194,2,0,172,4,4,3,34,32,0
447,42,72,2,0,9,1,4,3,6,1,0
448,353,264,2,0,176,2,1,0,0,2,0
449,354,265,2,0,177,2,1,0,0,2,0
450,355,266,34,0,3,1,2,1,5,6,0
451,356,129,17,58,83,1,2,0,2,6,0
452,357,59,2,0,178,2,1,0,0,2,0
453,358,217,30,0,179,1,2,1,15,8,0
454,79,72,2,0,9,3,4,3,13,1,0
455,9,0,2,0,9,1,4,3,6,1,0
456,359,200,75,0,60,1,3,1,60,1,0
457,360,267,2,0,171,2,1,0,0,2,0
458,361,268,2,0,180,1,1,0,2,3,0
459,362,269,2,0,5,1,1,0,1,3,0
460,363,270,2,0,181,2,1,2,0,2,0
461,364,271,2,0,5,1,3,1,9,10,0
462,35,272,2,0,27,4,1,1,16,2,0
463,365,80,2,0,146,1,1,1,0,2,0
464,366,273,0,0,182,1,1,0,5,0,0
465,367,77,72,0,151,2,1,0,0,2,0
466,9,274,2,0,9,3,4,3,22,1,0
467,368,275,16,0,183,1,2,0,1,8,0
468,369,178,2,0,5,1,4,1,2,8,0
469,370,276,2,0,184,1,1,0,61,0,0
470,30,93,2,0,9,1,4,3,6,1,0
471,371,277,2,0,5,2,1,0,0,2,0
472,248,278,2,28,5,3,3,7,8,3,0
473,58,7,2,0,27,4,1,1,16,2,0
474,372,279,81,0,5,1,1,0,3,7,0
475,373,32,2,0,171,2,1,0,0,2,0
476,374,280,82,0,185,1,2,0,62,20,0
477,30,12,2,0,9,1,4,3,13,1,0
478,375,281,83,38,119,1,4,0,13,3,0
479,29,282,2,0,9,1,4,3,6,9,0
480,376,7,2,0,140,1,2,1,2,10,0
481,377,270,2,0,181,1,1,2,0,12,0
482,378,6,84,0,42,1,2,1,23,0,0
483,379,114,2,0,131,2,1,0,0,2,0
484,380,114,2,0,180,2,1,0,0,2,0
485,381,20,16,0,186,1,2,1,5,8,0
486,382,283,2,59,5,1,4,1,21,15,0
487,91,284,2,0,9,1,4,3,22,9,0
488,383,285,2,0,17,1,1,0,50,2,0
489,384,286,2,0,15,1,1,3,0,1,0
490,385,287,2,0,187,1,4,3,6,1,0
491,386,288,17,0,188,1,2,6,5,28,0
492,387,289,7,0,20,1,2,1,12,3,0
493,388,93,2,60,5,1,4,3,2,9,1
494,389,74,2,0,17,1,1,0,10,2,0
496,29,3,2,0,9,1,4,3,13,1,0
497,390,290,2,0,189,1,3,1,63,8,0
498,391,291,2,0,9,1,3,1,6,5,0
499,368,275,16,0,183,2,1,0,0,8,0
500,392,114,2,61,190,1,4,5,34,31,0
501,393,292,2,0,29,2,1,0,0,2,0
502,394,40,2,45,5,1,2,1,1,23,0
503,58,260,2,0,27,4,1,1,16,2,0
504,395,11,85,0,127,1,3,8,50,27,0
505,396,293,2,0,189,0,0,4,48,28,0
506,397,294,2,0,191,1,4,3,34,9,0
507,79,43,2,0,9,3,4,3,16,1,0
508,58,272,2,0,27,4,1,1,16,2,0
509,29,174,2,0,9,1,4,3,13,1,0
510,398,295,2,0,5,1,1,0,6,24,0
511,399,296,2,0,29,1,1,0,17,3,0
512,35,297,2,0,27,4,1,1,16,2,0
513,400,58,86,0,192,1,5,9,3,4,0
514,401,298,2,0,15,5,1,0,59,2,0
515,18,81,52,0,112,1,3,7,9,10,0
516,402,32,87,0,193,2,1,0,0,2,0
517,403,299,2,0,194,1,1,0,5,8,0
518,404,9,88,0,5,2,1,0,0,2,0
519,405,300,2,0,15,5,3,0,24,3,0
520,406,20,2,0,186,1,2,1,5,15,0
521,36,193,2,0,27,4,1,1,16,2,0
522,407,7,2,0,195,2,1,0,0,2,0
523,408,114,2,0,98,2,1,0,0,2,0
524,409,301,30,0,10,1,1,0,0,2,0
525,410,114,2,62,5,1,0,1,18,2,0
526,411,302,2,0,15,1,1,3,1,1,0
527,412,303,0,63,196,1,2,1,1,0,0
528,154,75,2,0,9,1,3,1,13,9,0
529,413,304,89,0,5,1,1,3,59,22,0
530,414,11,2,64,197,1,3,1,6,10,0
531,415,110,2,0,67,2,1,0,0,2,0
532,416,241,2,0,154,5,0,2,7,22,0
533,417,305,18,0,198,1,3,0,0,14,0
534,35,306,2,0,27,4,1,1,16,2,0
535,418,110,2,0,67,2,1,0,0,2,0
536,419,307,2,65,5,3,4,0,13,2,0
537,420,308,2,0,5,1,1,0,5,2,1
538,421,309,2,0,199,4,1,0,0,2,0
539,422,100,2,66,4,1,2,0,1,6,0
540,423,40,2,45,5,1,2,1,1,23,0
541,424,310,25,0,200,2,1,0,0,7,0
542,425,59,3,0,201,1,2,1,64,3,0
543,426,294,2,0,191,1,4,3,34,7,0
544,427,311,2,67,202,1,1,0,43,25,0
545,56,312,2,0,27,4,4,1,16,12,0
546,428,243,2,0,9,1,4,3,2,1,0
547,429,313,2,0,203,1,2,0,2,8,0
548,430,0,2,0,204,1,5,1,36,21,0
549,431,314,90,0,5,1,2,0,65,2,0
550,432,205,2,0,5,1,2,1,58,6,0
551,35,315,2,0,27,4,1,1,16,2,0
552,433,316,2,0,9,1,4,3,15,1,0
553,434,114,2,0,28,2,1,0,0,2,0
554,435,317,2,0,205,1,2,1,7,17,0
555,56,318,2,0,27,4,4,1,16,12,0
556,436,319,2,0,206,1,4,3,50,27,0
557,437,77,11,0,26,1,1,0,1,0,0
558,438,320,2,0,5,2,1,0,0,2,0
559,425,303,3,68,196,1,2,1,5,3,0
560,439,321,2,69,207,1,2,1,7,8,0
561,79,37,2,0,9,3,4,3,6,1,0
562,440,101,2,0,5,5,0,0,0,11,0
563,441,322,91,0,20,1,1,0,12,2,0
564,442,58,2,0,113,3,0,0,0,6,0
565,29,9,2,0,9,1,4,3,31,9,0
566,443,237,2,0,208,1,2,1,2,2,0
567,444,19,2,0,9,1,4,3,2,1,0
568,58,309,2,0,27,4,1,1,16,2,0
569,35,323,2,0,27,4,1,1,16,2,0
570,445,324,2,0,209,1,4,3,3,4,0
571,446,0,16,70,193,1,6,0,9,8,0
572,447,325,2,0,5,3,3,0,34,5,0
573,448,272,16,0,210,1,2,1,66,8,1
574,449,80,16,0,211,1,2,0,6,8,0
575,56,326,2,0,27,4,4,1,16,12,0
576,35,327,2,0,27,4,1,1,16,2,0
577,450,328,92,0,41,1,3,3,18,1,0
578,451,329,2,0,5,1,6,1,6,2,0
579,452,0,2,0,212,2,1,0,0,2,0
580,29,90,2,0,9,1,4,3,3,9,0
581,453,75,2,71,5,1,1,0,2,6,0
